well_number,api,longitude,latitude,well_name,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,acid_percent,type_treatment,lbs_proppant,max_treatment_pressure,max_treatment_rate,ClosestCity,WellType,WellStatus,OilProduced,GasProduced,Operator,Location,wellname
W28634,33-053-06019,103° 36' 10.110 W,48° 3' 41.950 N,Chalmers 5300 21-19 6B,2015-04-25,Bakken,11080.0,20580.0,36.0,223578.0,Barrels,,Sand Frac,3879492.0,9244.0,75.0,Williston,Oil & Gas,Active,"275
Barrels of Oil Produced in Dec 2023","2.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",CHALMERS 5300 21-19 6B
W20863,33-053-03608,103° 36' 41.780 W,48° 4' 57.940 N,FOLEY FEDERAL 43-12H,2015-04-25,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,Williston,Oil & Gas,Active,"125
Barrels of Oil Produced in Dec 2023","64
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",FOLEY FEDERAL 5301 43-12H
W23365,33-105-02725,103° 43' 46.650 W,48° 06' 33.65 N,Atlanta Federal 8-6H,2014-12-14,3 Forks,10865.0,22585.0,38.0,72511.0,Barrels,,Sand Frac,3764730.0,8557.0,23.0,Williston,Oil & Gas,Active,"439
Barrels of Oil Produced in Dec 2023","740
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA FEDERAL 8-6H
W23371,33-105-02731,103° 43' 54.570 W,48° 6' 35.990 N,Atlanta 2-6H,2013-10-31,3 Forks,10888.0,20055.0,25.0,45855.0,Barrels,,Sand Frac,2980006.0,8500.0,25.0,Williston,Oil & Gas,Active,"539
Barrels of Oil Produced in Dec 2023","857
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 2-6H
W23359,33-105-02719,103° 43' 39.06 W,48° 06' 33.65 N,Atlanta 14-6H,2014-01-20,3 Forks,10924.0,19085.0,27.0,51087.0,Barrels,,Sand Frac,3009408.0,8352.0,28.0,Williston,Oil & Gas,Active,"280
Barrels of Oil Produced in Dec 2023","547
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 14-6H
W15358,33-053-02556,W103  416.1923,48° 06' 44.88 N,Lewis & Clark 2-4H,2014-01-20,N/A,N/A,N/A,N/A,N/A,Barrels,,N/A,N/A,N/A,N/A,Williston,Oil & Gas,Active,"324
Barrels of Oil Produced in Dec 2023","323
MCF of Gas Produced in Dec 2023","RIM OPERATING, INC.","McKenzie County, ND",LEWIS AND CLARK 2-4H
W28754,33-053-00605,103° 36' 11.380 W,48° 04 ' 28.160 N,KLINE FEDERAL 5300 31-18 88,2014-01-20,N/A,N/A,N/A,N/A,N/A,Barrels,,Sand Frac,N/A,N/A,N/A,,,,,,,,
W28755,33-053-06056,103° 36' 11.380 W,48° 04 ' 27.840 N,KLINE FEDERAL 5300 31-18 7T,2015-07-30,Three Forks,11068.0,19681.0,33.0,200534.0,Barrels,,Sand Frac,3873780.0,9488.0,71.0,Williston,Oil & Gas,Active,"149
Barrels of Oil Produced in Dec 2023","1.1 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",KLINE FEDERAL 5300 31-18 7T
W23370,33-105-02730,103° 43 ' 52.244 W,48° 06 ' 33.668 N,Atlanta 3-6H,2013-03-20,MB,11156.0,20225.0,27.0,44335.0,Barrels,,Sand Frac,3227114.0,8059.0,31.0,Williston,Oil & Gas,Active,"429
Barrels of Oil Produced in Dec 2023","725
MCF of Gas Produced in Dec 2023","CONTINENTAL RESOURCES, INC.","Williams County, ND",ATLANTA 3-6H
W28557,33-053-05998,103° 36' 10.820 W,48° 2' 28.320 N,Wade Federal 5300 41-30 7T,2015-04-24,Three Forks,11167.0,20517.0,36.0,134353.0,Barrels,,Sand Frac,3973130.0,9218.0,39.0,Williston,Oil & Gas,Active,"510
Barrels of Oil Produced in Dec 2023","2.7 k
MCF of Gas Produced in Dec 2023",OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",WADE FEDERAL 5300 41-30 7T
